Team
Arsenal
Aston Villa
Bournemouth
Brentford
Brighton
Burnley
Chelsea
Crystal Palace
Everton
Fulham
Liverpool
Luton Town
Manchester City
Manchester Utd
Newcastle
Nottingham
Sheffield Utd
Tottenham
West Ham
Wolverhampton
